Stock name,Symbol,Link
Mahanagar Gas Limited,MGL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MGL"""
Mahalaxmi Rubtech Ltd,MHLXMIRU,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MHLXMIRU"""
Mahindra Holidays & Resorts India Limited,MHRIL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MHRIL"""
MIC Electronics Ltd,MICEL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MICEL"""
Nippon India ETF Nifty Midcap 150,MID150BEES,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MID150BEES"""
Zerodha Nifty Midcap 150 ETF,MID150CASE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MID150CASE"""
Kotak Nifty Midcap 50 ETF,MIDCAP,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MIDCAP"""
Mirae Asset Nifty Midcap 150 ETF,MIDCAPETF,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MIDCAPETF"""
ICICI Prudential Nifty Midcap 150 ETF,MIDCAPIETF,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MIDCAPIETF"""
Mishra Dhatu Nigam Ltd,MIDHANI,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MIDHANI"""
DSP Nifty Midcap 150 Quality 50 ETF,MIDQ50ADD,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MIDQ50ADD"""
ICICI Prudential S&P BSE Midcap Select ETF,MIDSELIETF,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MIDSELIETF"""
Mirae AN Midsmallcap400 Momentum Quality 100 ETF,MIDSMALL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MIDSMALL"""
Minda Corporation Limited,MINDACORP,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MINDACORP"""
Mindteck (india) Limited,MINDTECK,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MINDTECK"""
Mirc Electronics Limited,MIRCELECTR,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MIRCELECTR"""
Mirza International Limited,MIRZAINT,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MIRZAINT"""
Mitcon Consultancy & Engineering Services Ltd,MITCON,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MITCON"""
Mittal Life Style Ltd,MITTAL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MITTAL"""
M K Proteins Ltd,MKPL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MKPL"""
Mm Forgings Limited,MMFL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MMFL"""
MMP Industries Ltd,MMP,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MMP"""
Mmtc Limited,MMTC,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MMTC"""
Kotak Nifty MNC ETF,MNC,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MNC"""
One Mobikwik Systems Ltd,MOBIKWIK,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MOBIKWIK"""
Motilal Oswal Nifty India Defence ETF,MODEFENCE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MODEFENCE"""
Modi Rubber Ltd,MODIRUBBER,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MODIRUBBER"""
Modison Ltd,MODISONLTD,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MODISONLTD"""
Modern Threads (I) Ltd,MODTHREAD,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MODTHREAD"""
Motilal Oswal 5 Year G-Sec ETF,MOGSEC,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MOGSEC"""
Motilal Oswal S&P BSE Healthcare ETF,MOHEALTH,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MOHEALTH"""
Moil Limited,MOIL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MOIL"""
Moksh Ornaments Ltd,MOKSH,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MOKSH"""
Meghmani Organics Ltd,MOL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MOL"""
Mold-tek Technologies Limited,MOLDTECH,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MOLDTECH"""
Mold-tek Packaging Limited,MOLDTKPAC,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MOLDTKPAC"""
Motilal Oswal S&P BSE Low Volatility ETF,MOLOWVOL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MOLOWVOL"""
Motilal Oswal Midcap 100 ETF,MOM100,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MOM100"""
ICICI Prudential Nifty 200 Momentum 30 ETF,MOM30IETF,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MOM30IETF"""
Motilal Oswal M50 ETF,MOM50,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MOM50"""
Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,MOMENTUM,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MOMENTUM"""
Motilal Oswal Nifty 500 Momentum 50 ETF,MOMENTUM50,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MOMENTUM50"""
Motilal Oswal Nifty 200 Momentum 30 ETF,MOMOMENTUM,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MOMOMENTUM"""
Motilal Oswal NASDAQ 100 ETF,MON100,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MON100"""
Monarch Networth Capital Ltd,MONARCH,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MONARCH"""
Motilal Oswal Nifty 500 ETF,MONIFTY500,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MONIFTY500"""
Motilal Oswal Nasdaq Q 50 ETF,MONQ50,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MONQ50"""
Monte Carlo Fashions Limited,MONTECARLO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:MONTECARLO"""
