Stock name,Symbol,Link

Premier Explosives Limited,PREMEXPLN,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PREMEXPLN"""
Premier Limited,PREMIER,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PREMIER"""
Premier Energies Ltd,PREMIERENE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PREMIERENE"""
Premier Polyfilm Limited,PREMIERPOL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PREMIERPOL"""
Prestige Estates Projects Limited,PRESTIGE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PRESTIGE"""
Pricol Ltd.,PRICOLLTD,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PRICOLLTD"""
Prime Securities Limited,PRIMESECU,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PRIMESECU"""
Prince Pipes & Fittings Ltd,PRINCEPIPE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PRINCEPIPE"""
Priti International Ltd,PRITI,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PRITI"""
Pritika Auto Industries Ltd,PRITIKAUTO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PRITIKAUTO"""
Privi Speciality Chemicals Ltd,PRIVISCL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PRIVISCL"""
Protean eGov Technologies Ltd,PROTEAN,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PROTEAN"""
Prozone Realty Ltd,PROZONER,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PROZONER"""
Prism Johnson Ltd,PRSMJOHNSN,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PRSMJOHNSN"""
Prudent Corporate Advisory Services Ltd,PRUDENT,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PRUDENT"""
Punjab & Sind Bank,PSB,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PSB"""
PSP Projects,PSPPROJECT,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PSPPROJECT"""
Kotak Nifty PSU Bank ETF,PSUBANK,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PSUBANK"""
DSP Nifty PSU Bank ETF,PSUBANKADD,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PSUBANKADD"""
Nippon India ETF PSU Bank Bees,PSUBNKBEES,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PSUBNKBEES"""
ICICI Prudential Nifty PSU Bank ETF,PSUBNKIETF,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PSUBNKIETF"""
Ptc India Limited,PTC,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PTC"""
PTC Industries Ltd,PTCIL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PTCIL"""
