Stock name,Symbol,Link

NIFTYOILANDGAS,NIFTYOILANDGAS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYOILANDGAS"""
NIFTYPSUBANK,NIFTYPSUBANK,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYPSUBANK"""
NIFTYPVTBANK,NIFTYPVTBANK,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYPVTBANK"""
Aditya Birla Sun Life Nifty 200 Quality 30 ETF,NIFTYQLITY,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYQLITY"""
NIFTYSERVSECTOR,NIFTYSERVSECTOR,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYSERVSECTOR"""
NIFTYSMALLCAP250,NIFTYSMALLCAP250,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYSMALLCAP250"""
NIFTYSMALLCAP50,NIFTYSMALLCAP50,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYSMALLCAP50"""
NIFTYSML250MQ100,NIFTYSML250MQ100,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYSML250MQ100"""
NIFTYTATA25CAP,NIFTYTATA25CAP,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYTATA25CAP"""
NIFTYTOP10EW,NIFTYTOP10EW,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYTOP10EW"""
NIFTYTOTALMKT,NIFTYTOTALMKT,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIFTYTOTALMKT"""
Niit Limited,NIITLTD,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIITLTD"""
NIIT Learning Systems Ltd,NIITMTS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIITMTS"""
Nila Infrastructures Limited,NILAINFRA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NILAINFRA"""
Nilkamal Limited,NILKAMAL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NILKAMAL"""
NINtec Systems Ltd,NINSYS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NINSYS"""
Indo-national Limited,NIPPOBATRY,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIPPOBATRY"""
Niraj Cement Structurals Ltd,NIRAJ,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIRAJ"""
Nitco Limited,NITCO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NITCO"""
Nitin Spinners Limited,NITINSPIN,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NITINSPIN"""
Nitiraj Engineers Ltd,NITIRAJ,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NITIRAJ"""
Niva Bupa Health Insurance Company Ltd,NIVABUPA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NIVABUPA"""
Nk Industries Limited,NKIND,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NKIND"""
Nlc India Limited,NLCINDIA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NLCINDIA"""
Nmdc Limited,NMDC,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NMDC"""
Nocil Limited,NOCIL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NOCIL"""
Noida Toll Bridge Company Limited,NOIDATOLL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NOIDATOLL"""
Norben Tea & Exports Limited,NORBTEAEXP,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NORBTEAEXP"""
Northern ARC Capital Ltd,NORTHARC,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NORTHARC"""
Nova Agritech Ltd,NOVAAGRI,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NOVAAGRI"""
Tata Nifty Private Bank ETF,NPBET,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NPBET"""
N R Agarwal Industries Ltd,NRAIL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NRAIL"""
Nrb Bearing Limited,NRBBEARING,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NRBBEARING"""
Nupur Recyclers Ltd,NRL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NRL"""
Nalwa Sons Investments Limited,NSIL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NSIL"""
NMDC Steel Ltd,NSLNISP,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NSLNISP"""
Ntpc Limited,NTPC,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NTPC"""
NTPC Green Energy Ltd,NTPCGREEN,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NTPCGREEN"""
Nucleus Software Exports Limited,NUCLEUS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NUCLEUS"""
Nureca Ltd,NURECA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NURECA"""
Nuvama Wealth Management Ltd,NUVAMA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NUVAMA"""
Nuvoco Vistas Corporation Ltd,NUVOCO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NUVOCO"""
Nifty50 Value 20,NV20,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NV20"""
Nippon India ETF Nifty 50 Value 20,NV20BEES,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NV20BEES"""
ICICI Prudential NV20 ETF,NV20IETF,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NV20IETF"""
FSN E-Commerce Ventures Ltd,NYKAA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:NYKAA"""
Oriental Aromatics Ltd,OAL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:OAL"""
Orissa Bengal Carrier Ltd,OBCL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:OBCL"""
Oberoi Realty Limited,OBEROIRLTY,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:OBEROIRLTY"""
Oriental Carbon & Chemicals Limited,OCCL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:OCCL"""
OCCL Ltd,OCCLLTD,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:OCCLLTD"""
Odigma Consultancy Solutions Ltd,ODIGMA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ODIGMA"""
Oracle Financial Services Software Limited,OFSS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:OFSS"""
Oil India Limited,OIL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:OIL"""
Oil Country Tubular Limited,OILCOUNTUB,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:OILCOUNTUB"""
ICICI Prudential Nifty Oil & Gas ETF,OILIETF,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:OILIETF"""
Ola Electric Mobility Ltd,OLAELEC,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:OLAELEC"""
Olectra Greentech Ltd,OLECTRA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:OLECTRA"""
Omax Autos Limited,OMAXAUTO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:OMAXAUTO"""
Omaxe Limited,OMAXE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:OMAXE"""
Om Infra Ltd,OMINFRAL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:OMINFRAL"""
